月份,总费用支出,统筹总支出,住院总费用,住院统筹支付,门诊总费用,门诊统筹支付,住院人次,门诊人次,均次住院统筹支付,均次门诊统筹支付
201502,64302088.82,42506074.71,58510683.08,39499445.21,5791405.74,3006629.5,6371,14313,6199.88,210.06
201503,113900419.1,73919135.41,99399831.7,67328282.91,14500587.44,6590852.5,10129,28630,6647.08,230.21
201504,98247211.52,64910153.19,92615041.91,61943734.41,5632169.61,2966418.78,9442,22742,6560.45,130.44
201505,98907792.23,64340732.98,93659650.24,61501476.09,5248141.99,2839256.89,9386,24698,6552.47,114.96
201506,104872450.7,69674167.83,95269653.09,63664854.07,9602797.56,6009313.76,9573,29164,6650.46,206.05
201507,105808686.2,70530168.1,97764145.86,65656838.26,8044540.34,4873329.84,10177,27310,6451.49,178.44
201508,94241411.17,62070886.81,87950167.05,58594511.15,6291244.12,3476375.66,9122,27413,6423.43,126.81
201509,93267647.62,61996020.37,85494866.63,57623805.64,7772780.99,4372214.73,9063,32231,6358.14,135.65
201510,107061630,70702822.34,98098262.81,66019728.42,8963367.21,4683093.92,9830,32376,6716.15,144.65
201511,105997111.2,69500596.1,95380290.58,63820470.37,10616820.58,5680125.73,9692,38825,6584.86,146.3
201512,135828494.7,89458136.71,105860788.8,71158839.92,29967705.88,18299296.79,11065,57206,6430.98,319.88
